aggragate_area;aggregate_date;aggregate_time;aggregate_temp_avg;aggregate_temp_min;aggregate_temp_max;aggregate_temp_stddev;aggregate_wind_avg;aggregate_wind_min;aggregate_wind_max;aggregate_wind_stddev;aggregate_rain_avg;aggregate_rain_min;aggregate_rain_max;aggregate_rain_stddev
Sopron;2017-04-28;15:00:00;6,82;4,00;8,80;1,61;0,99;0,00;3,17;1,45;2,48;0,00;14,90;14,90
Szeged;2017-04-28;15:00:00;5,48;1,70;8,10;2,15;2,19;0,00;13,16;5,37;1,57;0,00;9,40;9,40
Budapest;2017-04-28;16:00:00;17,01;13,50;18,60;1,86;2,13;0,00;8,28;3,30;1,02;0,00;9,20;9,20
Debrecen;2017-04-28;16:00:00;16,52;14,40;17,80;1,31;3,65;0,00;16,02;6,54;1,28;0,00;11,50;11,50
Sopron;2017-04-28;16:00:00;16,55;14,00;18,20;1,63;0,70;0,00;3,55;1,40;0,82;0,00;4,90;4,90
Szeged;2017-04-28;16:00:00;15,22;13,10;16,50;1,28;0,04;0,00;0,22;0,09;0,03;0,00;0,20;0,20
Budapest;2017-04-28;17:00:00;19,47;11,00;23,80;4,45;2,92;0,00;25,38;8,43;1,38;0,00;12,40;12,40
Debrecen;2017-04-28;17:00:00;18,71;11,80;23,50;3,69;0,94;0,00;8,48;2,83;0,27;0,00;2,40;2,40
Sopron;2017-04-28;17:00:00;18,12;13,20;23,60;4,42;1,67;0,00;6,06;2,67;1,55;0,00;9,30;9,30
Szeged;2017-04-28;17:00:00;15,88;10,40;19,20;3,39;13,81;0,00;46,18;18,24;4,72;0,00;28,30;28,30
Budapest;2017-04-28;18:00:00;18,88;11,10;25,70;4,98;2,36;0,00;17,86;5,87;1,61;0,00;14,50;14,50
Debrecen;2017-04-28;18:00:00;20,70;19,10;22,30;1,18;1,77;0,00;12,10;4,07;1,21;0,00;10,90;10,90
Sopron;2017-04-28;18:00:00;19,05;14,80;23,20;3,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-28;18:00:00;16,53;15,20;17,80;0,98;10,61;0,00;34,53;12,99;4,08;0,00;24,50;24,50
Budapest;2017-04-28;19:00:00;7,49;3,00;23,90;6,60;0,06;0,00;0,51;0,17;0,04;0,00;0,40;0,40
Debrecen;2017-04-28;19:00:00;7,08;4,00;12,40;2,49;11,97;0,00;103,28;34,26;3,11;0,00;28,00;28,00
Sopron;2017-04-28;19:00:00;5,48;1,70;8,10;2,15;6,64;0,00;28,55;11,12;2,35;0,00;14,10;14,10
Szeged;2017-04-28;19:00:00;5,95;5,00;8,30;1,36;7,32;0,00;33,47;13,48;9,40;0,00;56,40;56,40
Budapest;2017-04-28;20:00:00;15,79;10,10;18,40;3,01;0,03;0,00;0,26;0,09;0,03;0,00;0,30;0,30
Debrecen;2017-04-28;20:00:00;16,37;14,00;18,20;1,51;3,94;0,00;16,42;5,99;3,61;0,00;32,50;32,50
Sopron;2017-04-28;20:00:00;15,22;13,10;16,50;1,28;2,70;0,00;6,98;3,21;2,58;0,00;15,50;15,50
Szeged;2017-04-28;20:00:00;16,35;13,50;18,60;1,99;1,78;0,00;9,94;4,01;1,03;0,00;6,20;6,20
Budapest;2017-04-28;21:00:00;19,94;16,20;23,50;2,49;1,28;0,00;7,43;2,67;1,18;0,00;10,60;10,60
Debrecen;2017-04-28;21:00:00;18,29;13,20;23,60;3,79;2,70;0,00;8,61;4,01;1,10;0,00;9,90;9,90
Sopron;2017-04-28;21:00:00;15,88;10,40;19,20;3,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-28;21:00:00;20,17;13,50;23,80;3,86;2,05;0,00;8,88;3,61;1,68;0,00;10,10;10,10
Budapest;2017-04-28;22:00:00;19,40;11,00;25,70;4,96;0,16;0,00;0,80;0,32;0,20;0,00;1,80;1,80
Debrecen;2017-04-28;22:00:00;19,77;14,80;23,20;2,78;2,77;0,00;19,61;6,41;3,88;0,00;34,90;34,90
Sopron;2017-04-28;22:00:00;16,53;15,20;17,80;0,98;0,11;0,00;0,66;0,27;0,35;0,00;2,10;2,10
Szeged;2017-04-28;22:00:00;16,55;11,10;22,60;4,28;3,62;0,00;21,70;8,86;1,07;0,00;6,40;6,40
Budapest;2017-04-28;23:00:00;20,07;16,00;23,60;2,74;1,23;0,00;6,74;2,26;0,49;0,00;4,40;4,40
Debrecen;2017-04-28;23:00:00;17,99;14,80;22,50;2,45;1,85;0,00;12,22;3,98;1,89;0,00;17,00;17,00
Sopron;2017-04-28;23:00:00;19,32;11,10;23,80;5,17;0,18;0,00;0,38;0,18;0,10;0,00;0,60;0,60
Szeged;2017-04-28;23:00:00;18,70;11,00;23,90;5,80;3,68;0,00;10,67;4,26;1,78;0,00;10,70;10,70
Budapest;2017-04-29;0:00:00;14,62;5,50;22,30;7,14;0,80;0,00;4,59;1,57;1,42;0,00;12,80;12,80
Debrecen;2017-04-29;0:00:00;9,70;5,10;19,60;6,02;2,24;0,00;16,56;5,40;1,11;0,00;10,00;10,00
Sopron;2017-04-29;0:00:00;11,55;4,70;23,90;7,87;1,68;0,00;9,87;4,01;0,98;0,00;5,90;5,90
Szeged;2017-04-29;0:00:00;17,00;5,90;25,70;8,53;0,20;0,00;1,22;0,50;0,08;0,00;0,50;0,50
Budapest;2017-04-29;1:00:00;10,53;1,70;18,20;6,34;1,39;0,00;12,17;4,04;1,08;0,00;9,70;9,70
Debrecen;2017-04-29;1:00:00;12,67;5,00;18,60;5,18;2,48;0,00;14,90;4,86;2,59;0,00;23,30;23,30
Sopron;2017-04-29;1:00:00;10,90;3,00;18,40;6,52;10,98;0,00;53,76;21,20;5,67;0,00;34,00;34,00
Szeged;2017-04-29;1:00:00;11,17;3,50;17,80;6,19;4,50;0,00;25,95;10,52;1,27;0,00;7,60;7,60
Budapest;2017-04-29;10:00:00;17,93;13,50;21,70;2,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Debrecen;2017-04-29;10:00:00;16,61;14,40;19,90;1,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Sopron;2017-04-29;10:00:00;14,95;13,20;17,10;1,68;0,40;0,00;2,12;0,85;0,30;0,00;1,80;1,80
Szeged;2017-04-29;10:00:00;15,55;13,10;17,30;1,47;5,42;0,00;32,54;13,29;3,85;0,00;23,10;23,10
Budapest;2017-04-29;11:00:00;18,90;11,00;23,80;5,27;0,02;0,00;0,18;0,06;0,06;0,00;0,50;0,50
Debrecen;2017-04-29;11:00:00;19,52;11,80;23,50;3,61;0,35;0,00;2,12;0,74;0,17;0,00;1,50;1,50
Sopron;2017-04-29;11:00:00;18,82;14,80;23,60;3,57;1,12;0,00;6,66;2,72;0,85;0,00;5,10;5,10
Szeged;2017-04-29;11:00:00;15,85;10,40;19,20;3,39;4,01;0,00;14,51;5,65;2,32;0,00;13,90;13,90
Budapest;2017-04-29;12:00:00;17,29;4,70;25,70;7,54;0,26;0,00;1,55;0,55;0,28;0,00;2,50;2,50
Debrecen;2017-04-29;12:00:00;16,22;5,90;22,30;7,00;0,08;0,00;0,40;0,14;0,13;0,00;1,20;1,20
Sopron;2017-04-29;12:00:00;16,42;6,90;23,20;7,03;6,62;0,00;16,46;7,98;2,23;0,00;13,40;13,40
Szeged;2017-04-29;12:00:00;13,00;5,10;17,80;5,52;4,23;0,00;19,88;7,75;2,75;0,00;16,50;16,50
Budapest;2017-04-29;13:00:00;8,00;3,00;17,80;5,01;3,26;0,00;16,09;5,87;1,08;0,00;9,70;9,70
Debrecen;2017-04-29;13:00:00;10,72;4,00;18,20;5,93;0,02;0,00;0,16;0,05;0,01;0,00;0,10;0,10
Sopron;2017-04-29;13:00:00;8,22;1,70;16,50;5,99;1,18;0,00;7,04;2,87;0,52;0,00;3,10;3,10
Szeged;2017-04-29;13:00:00;8,60;5,00;14,40;4,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-04-29;14:00:00;17,40;14,40;18,70;1,34;1,37;0,00;7,00;2,49;0,79;0,00;7,10;7,10
Debrecen;2017-04-29;14:00:00;15,06;13,20;17,10;1,35;0,12;0,00;1,05;0,35;0,08;0,00;0,70;0,70
Sopron;2017-04-29;14:00:00;15,55;13,10;17,30;1,47;1,36;0,00;5,29;2,24;0,47;0,00;2,80;2,80
Szeged;2017-04-29;14:00:00;17,18;13,50;19,40;2,06;0,62;0,00;2,91;1,17;0,22;0,00;1,30;1,30
Budapest;2017-04-29;15:00:00;18,57;11,00;23,50;4,58;4,93;0,00;32,32;11,02;1,32;0,00;11,90;11,90
Debrecen;2017-04-29;15:00:00;19,46;14,80;23,60;3,06;4,80;0,00;28,43;9,53;2,94;0,00;26,50;26,50
Sopron;2017-04-29;15:00:00;15,85;10,40;19,20;3,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-29;15:00:00;19,02;11,10;23,80;5,13;0,07;0,00;0,39;0,16;0,02;0,00;0,10;0,10
Budapest;2017-04-29;16:00:00;20,07;6,40;25,70;5,45;1,52;0,00;13,45;4,47;0,61;0,00;5,50;5,50
Debrecen;2017-04-29;16:00:00;16,57;6,90;23,20;6,60;2,74;0,00;12,33;4,27;1,41;0,00;12,70;12,70
Sopron;2017-04-29;16:00:00;13,00;5,10;17,80;5,52;11,48;0,00;66,67;27,05;3,37;0,00;20,20;20,20
Szeged;2017-04-29;16:00:00;16,98;4,70;23,90;7,10;1,02;0,00;4,66;1,81;0,63;0,00;3,80;3,80
Budapest;2017-04-29;17:00:00;8,47;3,50;18,00;4,58;2,22;0,00;17,57;5,79;1,01;0,00;9,10;9,10
Debrecen;2017-04-29;17:00:00;8,78;1,70;18,20;6,07;2,08;0,00;17,70;5,86;1,32;0,00;11,90;11,90
Sopron;2017-04-29;17:00:00;8,60;5,00;14,40;4,33;0,72;0,00;4,32;1,76;1,03;0,00;6,20;6,20
Szeged;2017-04-29;17:00:00;6,60;3,00;11,90;3,56;7,34;0,00;43,92;17,92;2,05;0,00;12,30;12,30
Budapest;2017-04-29;18:00:00;15,69;13,20;17,80;1,69;11,39;0,00;41,32;15,30;5,19;0,00;46,70;46,70
Debrecen;2017-04-29;18:00:00;15,41;13,10;17,30;1,44;1,90;0,00;7,83;3,02;1,32;0,00;11,90;11,90
Sopron;2017-04-29;18:00:00;17,18;13,50;19,40;2,06;25,33;0,00;98,85;41,77;6,55;0,00;39,30;39,30
Szeged;2017-04-29;18:00:00;17,80;16,70;18,40;0,68;0,71;0,00;4,26;1,74;0,20;0,00;1,20;1,20
Budapest;2017-04-29;19:00:00;19,21;15,50;23,60;3,06;6,80;0,00;59,15;19,64;3,04;0,00;27,40;27,40
Debrecen;2017-04-29;19:00:00;16,60;10,40;22,50;3,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Sopron;2017-04-29;19:00:00;19,02;11,10;23,80;5,13;2,56;0,00;15,26;6,22;1,15;0,00;6,90;6,90
Szeged;2017-04-29;19:00:00;18,05;11,00;22,40;5,22;1,76;0,00;8,29;3,31;1,12;0,00;6,70;6,70
Budapest;2017-04-29;2:00:00;14,66;10,40;17,10;2,12;5,49;0,00;19,78;6,92;2,43;0,00;21,90;21,90
Debrecen;2017-04-29;2:00:00;16,89;13,10;22,50;3,14;1,24;0,00;8,07;2,73;1,46;0,00;13,10;13,10
Sopron;2017-04-29;2:00:00;18,70;16,70;21,70;1,83;0,06;0,00;0,38;0,16;0,50;0,00;3,00;3,00
Szeged;2017-04-29;2:00:00;15,93;14,40;18,70;1,56;4,31;0,26;11,67;5,33;1,57;0,10;9,40;9,40
Budapest;2017-04-29;20:00:00;19,44;8,10;23,20;4,46;0,87;0,00;5,64;1,86;0,28;0,00;2,50;2,50
Debrecen;2017-04-29;20:00:00;13,88;5,10;20,40;5,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Sopron;2017-04-29;20:00:00;16,98;4,70;23,90;7,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-29;20:00:00;22,25;20,10;25,70;2,09;2,07;0,00;12,45;5,08;0,73;0,00;4,40;4,40
Budapest;2017-04-29;21:00:00;7,18;1,70;16,50;4,08;2,94;0,00;20,19;6,64;1,09;0,00;9,80;9,80
Debrecen;2017-04-29;21:00:00;8,58;5,00;14,90;4,40;5,09;0,00;30,32;9,84;2,61;0,00;23,50;23,50
Sopron;2017-04-29;21:00:00;6,60;3,00;11,90;3,56;1,48;0,00;8,72;3,55;0,78;0,00;4,70;4,70
Szeged;2017-04-29;21:00:00;7,33;3,50;12,40;3,61;0,79;0,00;3,96;1,57;1,43;0,00;8,60;8,60
Budapest;2017-04-29;22:00:00;16,20;14,00;18,20;1,43;2,23;0,00;18,49;6,12;0,91;0,00;8,20;8,20
Debrecen;2017-04-29;22:00:00;16,66;13,10;19,40;2,12;0,91;0,00;6,72;2,20;0,53;0,00;4,80;4,80
Sopron;2017-04-29;22:00:00;17,80;16,70;18,40;0,68;0,93;0,00;4,94;1,97;1,25;0,00;7,50;7,50
Szeged;2017-04-29;22:00:00;16,15;14,40;17,80;1,46;0,66;0,00;3,78;1,53;0,33;0,00;2,00;2,00
Budapest;2017-04-29;23:00:00;17,26;10,40;23,60;4,35;8,40;0,00;31,18;12,15;3,90;0,00;35,10;35,10
Debrecen;2017-04-29;23:00:00;18,07;11,10;23,80;4,53;1,87;0,00;7,59;2,61;1,21;0,00;10,90;10,90
Sopron;2017-04-29;23:00:00;18,05;11,00;22,40;5,22;1,58;0,00;5,91;2,29;1,27;0,00;7,60;7,60
Szeged;2017-04-29;23:00:00;19,05;15,50;23,50;3,01;21,59;0,00;67,80;24,71;6,78;0,00;40,70;40,70
Budapest;2017-04-29;3:00:00;18,42;14,80;23,60;2,94;4,44;0,00;26,51;9,19;1,68;0,00;15,10;15,10
Debrecen;2017-04-29;3:00:00;18,58;11,10;23,80;4,33;6,78;0,00;45,85;14,98;3,32;0,00;29,90;29,90
Sopron;2017-04-29;3:00:00;18,45;11,00;23,50;5,56;1,85;0,00;11,12;4,54;0,70;0,00;4,20;4,20
Szeged;2017-04-29;3:00:00;20,17;16,20;23,50;2,56;5,92;0,00;35,49;14,49;1,50;0,00;9,00;9,00
Budapest;2017-04-29;4:00:00;14,28;5,30;23,20;7,26;1,54;0,00;7,08;2,48;0,46;0,00;4,10;4,10
Debrecen;2017-04-29;4:00:00;10,52;4,70;23,90;7,04;5,11;0,00;37,91;12,53;3,32;0,00;29,90;29,90
Sopron;2017-04-29;4:00:00;17,00;5,90;25,70;8,53;4,35;0,00;23,65;9,48;2,02;0,00;12,10;12,10
Szeged;2017-04-29;4:00:00;16,28;6,40;22,30;6,83;1,51;0,00;9,06;3,70;0,95;0,00;5,70;5,70
Budapest;2017-04-29;5:00:00;9,96;1,70;17,60;5,90;2,78;0,00;15,90;5,31;0,97;0,00;8,70;8,70
Debrecen;2017-04-29;5:00:00;11,39;3,00;18,60;6,24;9,10;0,00;70,44;23,22;2,68;0,00;24,10;24,10
Sopron;2017-04-29;5:00:00;11,17;3,50;17,80;6,19;4,22;0,00;24,12;9,76;3,18;0,00;19,10;19,10
Szeged;2017-04-29;5:00:00;10,32;4,00;18,20;6,16;23,41;0,00;132,68;53,62;6,48;0,00;38,90;38,90
Budapest;2017-04-29;6:00:00;15,78;13,10;18,70;1,78;1,81;0,00;15,84;5,26;0,63;0,00;5,70;5,70
Debrecen;2017-04-29;6:00:00;19,07;16,70;22,50;2,00;4,31;0,00;17,24;6,75;1,46;0,00;13,10;13,10
Sopron;2017-04-29;6:00:00;15,93;14,40;18,70;1,56;7,13;0,00;35,65;14,26;3,22;0,00;19,30;19,30
Szeged;2017-04-29;6:00:00;14,95;13,20;17,10;1,68;0,12;0,00;0,30;0,13;0,10;0,00;0,60;0,60
Budapest;2017-04-29;7:00:00;17,13;10,40;23,80;3,99;0,24;0,00;2,19;0,73;0,47;0,00;4,20;4,20
Debrecen;2017-04-29;7:00:00;18,61;11,00;23,50;5,56;0,29;0,00;1,55;0,58;0,19;0,00;1,70;1,70
Sopron;2017-04-29;7:00:00;20,17;16,20;23,50;2,56;4,63;0,00;20,50;8,30;4,02;0,00;24,10;24,10
Szeged;2017-04-29;7:00:00;18,82;14,80;23,60;3,57;2,28;0,00;13,66;5,58;1,33;0,00;8,00;8,00
Budapest;2017-04-29;8:00:00;11,26;4,70;17,80;5,72;0,53;0,00;4,16;1,38;0,50;0,00;4,50;4,50
Debrecen;2017-04-29;8:00:00;16,44;5,60;25,70;8,21;0,74;0,00;6,46;2,14;0,29;0,00;2,60;2,60
Sopron;2017-04-29;8:00:00;16,28;6,40;22,30;6,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-29;8:00:00;16,42;6,90;23,20;7,03;7,61;0,00;33,08;13,27;2,97;0,00;17,80;17,80
Budapest;2017-04-29;9:00:00;9,57;4,20;18,40;5,14;3,31;0,00;28,86;9,59;2,36;0,00;21,20;21,20
Debrecen;2017-04-29;9:00:00;10,88;3,00;17,80;6,15;7,63;0,00;30,36;11,31;3,69;0,00;33,20;33,20
Sopron;2017-04-29;9:00:00;10,32;4,00;18,20;6,16;0,00;0,00;0,03;0,01;0,02;0,00;0,10;0,10
Szeged;2017-04-29;9:00:00;8,22;1,70;16,50;5,99;11,92;0,00;63,27;25,28;3,57;0,00;21,40;21,40
Budapest;2017-04-30;0:00:00;17,30;6,90;23,20;4,68;1,60;0,00;5,86;2,43;0,91;0,00;8,20;8,20
Debrecen;2017-04-30;0:00:00;15,39;4,70;23,90;6,84;1,70;0,00;5,60;2,10;2,40;0,00;21,60;21,60
Sopron;2017-04-30;0:00:00;22,25;20,10;25,70;2,09;0,05;0,00;0,28;0,12;0,05;0,00;0,30;0,30
Szeged;2017-04-30;0:00:00;20,57;19,10;22,30;1,27;0,07;0,00;0,20;0,10;0,03;0,00;0,20;0,20
Budapest;2017-04-30;1:00:00;6,77;1,70;14,40;3,46;0,97;0,00;2,93;1,19;1,37;0,00;12,30;12,30
Debrecen;2017-04-30;1:00:00;7,02;3,00;13,50;3,78;1,01;0,00;8,69;2,88;0,29;0,00;2,60;2,60
Sopron;2017-04-30;1:00:00;7,33;3,50;12,40;3,61;1,94;0,00;7,27;3,14;0,60;0,00;3,60;3,60
Szeged;2017-04-30;1:00:00;6,82;4,00;8,80;1,61;0,86;0,00;3,12;1,37;0,70;0,00;4,20;4,20
Budapest;2017-04-30;10:00:00;18,90;11,00;23,80;5,27;0,18;0,00;0,90;0,35;0,29;0,00;2,60;2,60
Debrecen;2017-04-30;10:00:00;19,52;11,80;23,50;3,61;4,19;0,00;21,11;7,38;4,63;0,00;41,70;41,70
Sopron;2017-04-30;10:00:00;18,82;14,80;23,60;3,57;5,90;0,00;15,80;6,11;2,75;0,00;16,50;16,50
Szeged;2017-04-30;10:00:00;15,85;10,40;19,20;3,39;9,78;0,00;39,96;15,61;3,13;0,00;18,80;18,80
Budapest;2017-04-30;11:00:00;17,29;4,70;25,70;7,54;6,18;0,00;25,20;9,90;1,84;0,00;16,60;16,60
Debrecen;2017-04-30;11:00:00;16,22;5,90;22,30;7,00;3,25;0,00;15,00;5,50;2,74;0,00;24,70;24,70
Sopron;2017-04-30;11:00:00;16,42;6,90;23,20;7,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-30;11:00:00;13,00;5,10;17,80;5,52;4,21;0,00;23,11;9,30;3,28;0,00;19,70;19,70
Budapest;2017-04-30;12:00:00;8,00;3,00;17,80;5,01;0,33;0,00;2,42;0,80;0,42;0,00;3,80;3,80
Debrecen;2017-04-30;12:00:00;10,72;4,00;18,20;5,93;1,77;0,00;5,36;2,22;0,84;0,00;7,60;7,60
Sopron;2017-04-30;12:00:00;8,22;1,70;16,50;5,99;0,11;0,00;0,54;0,22;0,12;0,00;0,70;0,70
Szeged;2017-04-30;12:00:00;8,60;5,00;14,40;4,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-04-30;13:00:00;17,40;14,40;18,70;1,34;0,22;0,00;1,51;0,51;0,13;0,00;1,20;1,20
Debrecen;2017-04-30;13:00:00;15,06;13,20;17,10;1,35;1,37;0,00;9,90;3,22;0,72;0,00;6,50;6,50
Sopron;2017-04-30;13:00:00;15,55;13,10;17,30;1,47;2,51;0,00;7,13;2,92;1,10;0,00;6,60;6,60
Szeged;2017-04-30;13:00:00;17,18;13,50;19,40;2,06;0,46;0,00;1,48;0,62;0,27;0,00;1,60;1,60
Budapest;2017-04-30;14:00:00;18,57;11,00;23,50;4,58;1,01;0,00;3,40;1,51;0,49;0,00;4,40;4,40
Debrecen;2017-04-30;14:00:00;19,46;14,80;23,60;3,06;0,12;0,00;0,77;0,27;0,16;0,00;1,40;1,40
Sopron;2017-04-30;14:00:00;15,85;10,40;19,20;3,39;1,10;0,00;6,60;2,69;1,22;0,00;7,30;7,30
Szeged;2017-04-30;14:00:00;19,02;11,10;23,80;5,13;1,88;0,00;10,57;4,26;0,48;0,00;2,90;2,90
Budapest;2017-04-30;15:00:00;20,96;14,40;25,70;3,08;0,48;0,00;2,00;0,69;0,32;0,00;2,90;2,90
Debrecen;2017-04-30;15:00:00;19,33;14,90;23,20;2,68;0,82;0,00;4,80;1,57;0,42;0,00;3,80;3,80
Sopron;2017-04-30;15:00:00;16,18;14,70;17,80;1,11;2,19;0,00;11,80;4,72;2,07;0,00;12,40;12,40
Szeged;2017-04-30;15:00:00;19,13;13,80;23,90;3,85;2,92;0,00;17,33;7,06;2,22;0,00;13,30;13,30
Budapest;2017-04-30;16:00:00;19,01;16,70;23,50;2,32;2,04;0,00;12,92;4,46;0,84;0,00;7,60;7,60
Debrecen;2017-04-30;16:00:00;16,00;13,20;21,20;2,66;5,46;0,00;47,61;15,81;1,72;0,00;15,50;15,50
Sopron;2017-04-30;16:00:00;14,35;10,40;17,30;2,51;3,16;0,00;18,64;7,58;1,23;0,00;7,40;7,40
Szeged;2017-04-30;16:00:00;18,02;13,50;22,50;3,01;1,05;0,00;3,18;1,52;1,23;0,00;7,40;7,40
Budapest;2017-04-30;17:00:00;18,46;11,00;23,50;4,51;2,55;0,00;5,80;2,52;2,12;0,00;19,10;19,10
Debrecen;2017-04-30;17:00:00;20,42;14,80;23,60;3,17;8,59;0,00;35,40;13,55;6,77;0,00;60,90;60,90
Sopron;2017-04-30;17:00:00;17,37;15,80;19,20;1,38;2,14;0,00;12,83;5,24;0,68;0,00;4,10;4,10
Szeged;2017-04-30;17:00:00;19,32;11,10;23,80;5,17;16,13;0,00;75,20;29,44;5,38;0,00;32,30;32,30
Budapest;2017-04-30;18:00:00;15,08;5,90;25,70;8,38;0,33;0,00;1,89;0,65;0,63;0,00;5,70;5,70
Debrecen;2017-04-30;18:00:00;11,29;5,40;20,30;6,48;7,16;0,00;31,52;12,86;3,80;0,00;34,20;34,20
Sopron;2017-04-30;18:00:00;9,23;5,10;17,80;5,73;19,84;0,00;116,28;47,26;5,88;0,00;35,30;35,30
Szeged;2017-04-30;18:00:00;11,55;4,70;23,90;7,87;3,03;0,00;18,17;7,42;1,20;0,00;7,20;7,20
Budapest;2017-04-30;19:00:00;12,18;3,50;18,00;5,89;0,35;0,00;3,12;1,04;0,13;0,00;1,20;1,20
Debrecen;2017-04-30;19:00:00;12,04;1,70;18,20;6,43;1,06;0,00;5,46;2,14;0,88;0,00;7,90;7,90
Sopron;2017-04-30;19:00:00;12,90;5,00;18,60;5,31;0,53;0,00;3,18;1,30;0,42;0,00;2,50;2,50
Szeged;2017-04-30;19:00:00;10,90;3,00;18,40;6,52;0,98;0,00;5,90;2,41;0,57;0,00;3,40;3,40
Budapest;2017-04-30;2:00:00;15,43;13,10;17,60;1,50;0,32;0,00;1,67;0,56;0,56;0,00;5,00;5,00
Debrecen;2017-04-30;2:00:00;18,03;16,70;19,40;0,80;5,23;0,00;39,32;12,89;2,10;0,00;18,90;18,90
Sopron;2017-04-30;2:00:00;16,15;14,40;17,80;1,46;3,44;0,00;9,09;3,72;0,98;0,00;5,90;5,90
Szeged;2017-04-30;2:00:00;16,55;14,00;18,20;1,63;6,71;0,00;17,26;7,59;3,97;0,00;23,80;23,80
Budapest;2017-04-30;20:00:00;15,76;13,20;19,00;2,01;0,14;0,00;0,65;0,24;0,39;0,00;3,50;3,50
Debrecen;2017-04-30;20:00:00;14,64;10,40;17,30;2,22;1,34;0,00;12,05;4,02;0,70;0,00;6,30;6,30
Sopron;2017-04-30;20:00:00;18,02;13,50;22,50;3,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-30;20:00:00;18,70;16,70;21,70;1,83;5,32;0,00;31,94;13,04;2,30;0,00;13,80;13,80
Budapest;2017-04-30;21:00:00;20,42;16,00;23,60;2,97;6,56;0,00;50,52;16,59;1,90;0,00;17,10;17,10
Debrecen;2017-04-30;21:00:00;17,99;14,80;22,50;2,45;7,71;0,00;57,24;18,70;2,69;0,00;24,20;24,20
Sopron;2017-04-30;21:00:00;19,32;11,10;23,80;5,17;8,21;0,00;26,09;10,74;3,83;0,00;23,00;23,00
Szeged;2017-04-30;21:00:00;18,45;11,00;23,50;5,56;0,33;0,00;1,97;0,81;0,62;0,00;3,70;3,70
Budapest;2017-04-30;22:00:00;14,62;5,50;22,30;7,14;1,07;0,00;8,70;2,88;0,28;0,00;2,50;2,50
Debrecen;2017-04-30;22:00:00;9,70;5,10;19,60;6,02;9,14;0,00;32,45;13,85;4,22;0,00;38,00;38,00
Sopron;2017-04-30;22:00:00;11,55;4,70;23,90;7,87;13,61;0,00;54,86;21,69;6,32;0,00;37,90;37,90
