observation_city;observation_station;observation_time;observation_temperature;observation_wind_speed;obeservation_rain;observation_sky
BUDAPEST;3;2017-04-28 14:03:00;17.4;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 14:05:00;14.8;0;0;CLEAR
SZEGED;2;2017-04-28 14:07:00;16;0;0;CLOUDY
SOPRON;1;2017-04-28 14:09:00;21.8;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-28 14:11:00;19.1;0;0;CLEAR
DEBRECEN;1;2017-04-28 14:13:00;20.5;0;0;CLEAR
DEBRECEN;2;2017-04-28 14:15:00;23.5;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 14:17:00;22.6;0;0;FOG
BUDAPEST;1;2017-04-28 14:19:00;20.4;0;0;CLOUDY
BUDAPEST;2;2017-04-28 14:21:00;16.3;38.885;10.3;CLOUDY
BUDAPEST;3;2017-04-28 14:23:00;16.7;83.565;25.2;CLEAR
SZEGED;1;2017-04-28 14:25:00;20.4;0;0;FOG
SZEGED;2;2017-04-28 14:27:00;23.2;2.725;0.6;CLEAR
SOPRON;1;2017-04-28 14:29:00;22.3;13.485;9;CLOUDY
SOPRON;2;2017-04-28 14:31:00;20.1;0.885;1.6;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 14:33:00;22.3;9.18;2.3;FOG
DEBRECEN;2;2017-04-28 14:35:00;25.7;0;0;FOG
DEBRECEN;3;2017-04-28 14:37:00;16.5;11.45;3.1;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 14:39:00;13.8;0;0;CLOUDY
BUDAPEST;2;2017-04-28 14:41:00;15.2;4.125;2.6;PARTLY_CLOUDY
BUDAPEST;3;2017-04-28 14:43:00;17.8;0;0;CLEAR
SZEGED;1;2017-04-28 14:45:00;19.6;0;0;CLOUDY
SZEGED;2;2017-04-28 14:47:00;20.3;0;0;FOG
SOPRON;1;2017-04-28 14:49:00;19.5;0;0;CLEAR
SOPRON;2;2017-04-28 14:51:00;20.6;0;0;FOG
DEBRECEN;1;2017-04-28 14:53:00;20.1;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-28 14:55:00;21.4;9.115;3;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 14:57:00;23.9;0;0;CLOUDY
BUDAPEST;1;2017-04-28 14:59:00;4.7;0;0;CLEAR
BUDAPEST;2;2017-04-28 15:01:00;5.1;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-28 15:03:00;6.9;0;0;FOG
SZEGED;1;2017-04-28 15:05:00;6.9;0;0;CLOUDY
SZEGED;2;2017-04-28 15:07:00;8.1;16.455;9.4;FOG
SOPRON;1;2017-04-28 15:09:00;8.8;3.965;4.1;FOG
SOPRON;2;2017-04-28 15:11:00;6.4;0;0;CLEAR
DEBRECEN;1;2017-04-28 15:13:00;5.9;0.215;0.1;PARTLY_CLOUDY
DEBRECEN;2;2017-04-28 15:15:00;6.6;0;0;FOG
DEBRECEN;3;2017-04-28 15:17:00;5.6;0;0;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 15:19:00;4.8;0;0;CLEAR
BUDAPEST;2;2017-04-28 15:21:00;5.1;0;0;CLEAR
BUDAPEST;3;2017-04-28 15:23:00;5.3;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 15:25:00;5.4;0;0;FOG
SZEGED;2;2017-04-28 15:27:00;5.5;0;0;CLEAR
SOPRON;1;2017-04-28 15:29:00;7.5;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-28 15:31:00;6.7;0.32;0.1;CLOUDY
DEBRECEN;1;2017-04-28 15:33:00;4.5;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 15:35:00;3.5;0;0;CLOUDY
DEBRECEN;3;2017-04-28 15:37:00;3;0.11;0.6;HEAVY_CLOUDS
BUDAPEST;1;2017-04-28 15:39:00;4.2;0;0;HEAVY_CLOUDS
BUDAPEST;2;2017-04-28 15:41:00;5;3.385;0.9;FOG
BUDAPEST;3;2017-04-28 15:43:00;8.3;92.17;20.2;PARTLY_CLOUDY
SZEGED;1;2017-04-28 15:45:00;5.3;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-28 15:47:00;1.7;0;0;CLEAR
SOPRON;1;2017-04-28 15:49:00;4;3.12;10.7;PARTLY_CLOUDY
SOPRON;2;2017-04-28 15:51:00;7.5;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 15:53:00;12.4;0.77;0.4;FOG
DEBRECEN;2;2017-04-28 15:55:00;11.1;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 15:57:00;10.1;0;0;CLEAR
BUDAPEST;1;2017-04-28 15:59:00;11.9;0;0;CLEAR
BUDAPEST;2;2017-04-28 16:01:00;13.5;0;0;CLEAR
BUDAPEST;3;2017-04-28 16:03:00;14.4;0.905;1;CLOUDY
SZEGED;1;2017-04-28 16:05:00;14.9;0;0;CLEAR
SZEGED;2;2017-04-28 16:07:00;16.5;0;0;PARTLY_CLOUDY
SOPRON;1;2017-04-28 16:09:00;18.2;0.14;0.2;FOG
SOPRON;2;2017-04-28 16:11:00;18;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-28 16:13:00;17.7;20.03;4.1;FOG
DEBRECEN;2;2017-04-28 16:15:00;17.8;0.62;0.3;FOG
DEBRECEN;3;2017-04-28 16:17:00;17.8;0.765;0.7;CLOUDY
BUDAPEST;1;2017-04-28 16:19:00;18.4;9.215;2.6;CLEAR
BUDAPEST;2;2017-04-28 16:21:00;18.6;0.94;2.1;FOG
BUDAPEST;3;2017-04-28 16:23:00;17.6;2.57;0.8;FOG
SZEGED;1;2017-04-28 16:25:00;16.4;0;0;CLEAR
SZEGED;2;2017-04-28 16:27:00;14.7;0;0;CLEAR
SOPRON;1;2017-04-28 16:29:00;16.7;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-28 16:31:00;17.1;4.44;2.7;CLEAR
DEBRECEN;1;2017-04-28 16:33:00;14.9;1.805;0.7;CLOUDY
DEBRECEN;2;2017-04-28 16:35:00;14.4;0;0;PARTLY_CLOUDY
DEBRECEN;3;2017-04-28 16:37:00;16.7;0;0;CLOUDY
BUDAPEST;1;2017-04-28 16:39:00;18.3;10.355;2.7;CLEAR
BUDAPEST;2;2017-04-28 16:41:00;17.5;0;0;FOG
BUDAPEST;3;2017-04-28 16:43:00;16.5;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 16:45:00;13.1;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-28 16:47:00;15.7;0.28;0.2;FOG
SOPRON;1;2017-04-28 16:49:00;15.3;0.44;0.1;CLEAR
SOPRON;2;2017-04-28 16:51:00;14;0.21;1.9;FOG
DEBRECEN;1;2017-04-28 16:53:00;15.4;17.79;5.7;CLEAR
DEBRECEN;2;2017-04-28 16:55:00;16.7;0;0;PARTLY_CLOUDY
DEBRECEN;3;2017-04-28 16:57:00;17.3;0;0;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 16:59:00;18.3;0;0;FOG
BUDAPEST;2;2017-04-28 17:01:00;19.4;0;0;CLOUDY
BUDAPEST;3;2017-04-28 17:03:00;13.5;0;0;CLOUDY
SZEGED;1;2017-04-28 17:05:00;17.3;0;0;FOG
SZEGED;2;2017-04-28 17:07:00;16.1;57.725;15.9;PARTLY_CLOUDY
SOPRON;1;2017-04-28 17:09:00;13.4;4.945;6.2;FOG
SOPRON;2;2017-04-28 17:11:00;13.2;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-28 17:13:00;15.5;0;0;FOG
DEBRECEN;2;2017-04-28 17:15:00;18.7;10.595;2.4;FOG
DEBRECEN;3;2017-04-28 17:17:00;19.9;0;0;FOG
BUDAPEST;1;2017-04-28 17:19:00;21.7;0;0;FOG
BUDAPEST;2;2017-04-28 17:21:00;22.5;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-28 17:23:00;18.7;0;0;CLEAR
SZEGED;1;2017-04-28 17:25:00;13.5;24.49;7.9;CLOUDY
SZEGED;2;2017-04-28 17:27:00;10.4;0;0;CLEAR
SOPRON;1;2017-04-28 17:29:00;17;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-28 17:31:00;19;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 17:33:00;21.2;0;0;FOG
DEBRECEN;2;2017-04-28 17:35:00;23.5;0;0;CLOUDY
DEBRECEN;3;2017-04-28 17:37:00;22.4;0;0;FOG
BUDAPEST;1;2017-04-28 17:39:00;21.5;0.49;1.6;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 17:41:00;23.1;31.73;10;CLOUDY
BUDAPEST;3;2017-04-28 17:43:00;23.8;0;0;CLEAR
SZEGED;1;2017-04-28 17:45:00;19.2;21.37;4.5;HEAVY_CLOUDS
SZEGED;2;2017-04-28 17:47:00;18.8;0;0;CLOUDY
SOPRON;1;2017-04-28 17:49:00;22.5;7.57;3.1;PARTLY_CLOUDY
SOPRON;2;2017-04-28 17:51:00;23.6;0;0;FOG
DEBRECEN;1;2017-04-28 17:53:00;19.2;0;0;CLOUDY
DEBRECEN;2;2017-04-28 17:55:00;16.2;0;0;CLOUDY
DEBRECEN;3;2017-04-28 17:57:00;11.8;0;0;FOG
BUDAPEST;1;2017-04-28 17:59:00;11;0.63;0.8;CLEAR
BUDAPEST;2;2017-04-28 18:01:00;11.1;3.15;1.3;CLOUDY
BUDAPEST;3;2017-04-28 18:03:00;14.9;22.33;12.5;CLOUDY
SZEGED;1;2017-04-28 18:05:00;15.8;9.02;3.7;CLOUDY
SZEGED;2;2017-04-28 18:07:00;17.4;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-28 18:09:00;14.8;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-28 18:11:00;16;0;0;FOG
DEBRECEN;1;2017-04-28 18:13:00;21.8;15.13;5.2;FOG
DEBRECEN;2;2017-04-28 18:15:00;19.1;0;0;CLEAR
DEBRECEN;3;2017-04-28 18:17:00;20.5;0;0;FOG
BUDAPEST;1;2017-04-28 18:19:00;23.5;0;0;CLOUDY
BUDAPEST;2;2017-04-28 18:21:00;22.6;0.835;0.2;CLEAR
BUDAPEST;3;2017-04-28 18:23:00;20.4;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 18:25:00;16.3;43.16;13.5;CLOUDY
SZEGED;2;2017-04-28 18:27:00;16.7;8.535;2.5;FOG
SOPRON;1;2017-04-28 18:29:00;20.4;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-28 18:31:00;23.2;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-28 18:33:00;22.3;4.71;5.5;PARTLY_CLOUDY
DEBRECEN;2;2017-04-28 18:35:00;20.1;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 18:37:00;22.3;0.125;0.2;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 18:39:00;25.7;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 18:41:00;16.5;0;0;CLOUDY
BUDAPEST;3;2017-04-28 18:43:00;13.8;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 18:45:00;15.2;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-28 18:47:00;17.8;18.875;4.8;HEAVY_CLOUDS
SOPRON;1;2017-04-28 18:49:00;19.6;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-28 18:51:00;20.3;0;0;FOG
DEBRECEN;1;2017-04-28 18:53:00;19.5;0;0;CLOUDY
DEBRECEN;2;2017-04-28 18:55:00;20.6;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 18:57:00;20.1;0;0;CLEAR
BUDAPEST;1;2017-04-28 18:59:00;21.4;0.255;0.5;CLOUDY
BUDAPEST;2;2017-04-28 19:01:00;23.9;0.64;0.4;CLOUDY
BUDAPEST;3;2017-04-28 19:03:00;4.7;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 19:05:00;5.1;41.84;38.8;FOG
SZEGED;2;2017-04-28 19:07:00;6.9;13.075;17.6;CLEAR
SOPRON;1;2017-04-28 19:09:00;6.9;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-28 19:11:00;8.1;35.69;8;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 19:13:00;8.8;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 19:15:00;6.4;0;0;CLEAR
DEBRECEN;3;2017-04-28 19:17:00;5.9;0;0;CLOUDY
BUDAPEST;1;2017-04-28 19:19:00;6.6;0;0;HEAVY_CLOUDS
BUDAPEST;2;2017-04-28 19:21:00;5.6;0;0;CLOUDY
BUDAPEST;3;2017-04-28 19:23:00;4.8;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-28 19:25:00;5.1;0;0;CLEAR
SZEGED;2;2017-04-28 19:27:00;5.3;0;0;CLEAR
SOPRON;1;2017-04-28 19:29:00;5.4;8.755;5;HEAVY_CLOUDS
SOPRON;2;2017-04-28 19:31:00;5.5;5.38;1.1;PARTLY_CLOUDY
DEBRECEN;1;2017-04-28 19:33:00;7.5;0.58;0.2;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 19:35:00;6.7;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 19:37:00;4.5;0;0;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 19:39:00;3.5;0;0;CLOUDY
BUDAPEST;2;2017-04-28 19:41:00;3;0;0;FOG
BUDAPEST;3;2017-04-28 19:43:00;4.2;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-28 19:45:00;5;0;0;FOG
SZEGED;2;2017-04-28 19:47:00;8.3;0;0;PARTLY_CLOUDY
SOPRON;1;2017-04-28 19:49:00;5.3;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-28 19:51:00;1.7;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 19:53:00;4;4.985;1.8;PARTLY_CLOUDY
DEBRECEN;2;2017-04-28 19:55:00;7.5;129.095;26;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 19:57:00;12.4;0;0;FOG
BUDAPEST;1;2017-04-28 19:59:00;11.1;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 20:01:00;10.1;0.32;0.3;HEAVY_CLOUDS
BUDAPEST;3;2017-04-28 20:03:00;11.9;0;0;FOG
SZEGED;1;2017-04-28 20:05:00;13.5;0;0;CLEAR
SZEGED;2;2017-04-28 20:07:00;14.4;0;0;CLEAR
SOPRON;1;2017-04-28 20:09:00;14.9;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-28 20:11:00;16.5;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 20:13:00;18.2;13.455;18;CLEAR
DEBRECEN;2;2017-04-28 20:15:00;18;0;0;FOG
DEBRECEN;3;2017-04-28 20:17:00;17.7;0;0;CLEAR
BUDAPEST;1;2017-04-28 20:19:00;17.8;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 20:21:00;17.8;0;0;FOG
BUDAPEST;3;2017-04-28 20:23:00;18.4;0;0;CLOUDY
SZEGED;1;2017-04-28 20:25:00;18.6;12.425;5.2;HEAVY_CLOUDS
SZEGED;2;2017-04-28 20:27:00;17.6;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-28 20:29:00;16.4;2.6;0.6;CLOUDY
SOPRON;2;2017-04-28 20:31:00;14.7;0.825;9.2;CLOUDY
DEBRECEN;1;2017-04-28 20:33:00;16.7;7.455;3.7;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 20:35:00;17.1;0;0;FOG
DEBRECEN;3;2017-04-28 20:37:00;14.9;0;0;CLEAR
BUDAPEST;1;2017-04-28 20:39:00;14.4;0;0;HEAVY_CLOUDS
BUDAPEST;2;2017-04-28 20:41:00;16.7;0;0;FOG
BUDAPEST;3;2017-04-28 20:43:00;18.3;0;0;CLEAR
SZEGED;1;2017-04-28 20:45:00;17.5;0;0;CLOUDY
SZEGED;2;2017-04-28 20:47:00;16.5;0.95;1;FOG
SOPRON;1;2017-04-28 20:49:00;13.1;8.06;2.4;HEAVY_CLOUDS
SOPRON;2;2017-04-28 20:51:00;15.7;8.73;3.3;FOG
DEBRECEN;1;2017-04-28 20:53:00;15.3;2.865;1;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 20:55:00;14;20.525;9.8;FOG
DEBRECEN;3;2017-04-28 20:57:00;15.4;0;0;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 20:59:00;16.7;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 21:01:00;17.3;0;0;CLOUDY
BUDAPEST;3;2017-04-28 21:03:00;18.3;0;0;CLOUDY
SZEGED;1;2017-04-28 21:05:00;19.4;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-28 21:07:00;13.5;0;0;FOG
SOPRON;1;2017-04-28 21:09:00;17.3;0;0;CLEAR
SOPRON;2;2017-04-28 21:11:00;16.1;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 21:13:00;13.4;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 21:15:00;13.2;0;0;PARTLY_CLOUDY
DEBRECEN;3;2017-04-28 21:17:00;15.5;0;0;HEAVY_CLOUDS
BUDAPEST;1;2017-04-28 21:19:00;18.7;0;0;HEAVY_CLOUDS
BUDAPEST;2;2017-04-28 21:21:00;19.9;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-28 21:23:00;21.7;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-28 21:25:00;22.5;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-28 21:27:00;18.7;0;0;CLOUDY
SOPRON;1;2017-04-28 21:29:00;13.5;0;0;FOG
SOPRON;2;2017-04-28 21:31:00;10.4;0;0;CLEAR
DEBRECEN;1;2017-04-28 21:33:00;17;0;0;CLOUDY
DEBRECEN;2;2017-04-28 21:35:00;19;10.76;3.3;FOG
DEBRECEN;3;2017-04-28 21:37:00;21.2;0.33;1.2;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 21:39:00;23.5;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 21:41:00;22.4;9.285;7.3;FOG
BUDAPEST;3;2017-04-28 21:43:00;21.5;0;0;CLEAR
SZEGED;1;2017-04-28 21:45:00;23.1;11.095;6.8;PARTLY_CLOUDY
SZEGED;2;2017-04-28 21:47:00;23.8;4.265;3.3;HEAVY_CLOUDS
SOPRON;1;2017-04-28 21:49:00;19.2;0;0;CLOUDY
SOPRON;2;2017-04-28 21:51:00;18.8;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-28 21:53:00;22.5;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-28 21:55:00;23.6;10.555;3.4;HEAVY_CLOUDS
DEBRECEN;3;2017-04-28 21:57:00;19.2;8.735;2;CLOUDY
BUDAPEST;1;2017-04-28 21:59:00;16.2;5.075;3.3;CLEAR
BUDAPEST;2;2017-04-28 22:01:00;11.8;1.005;1.4;CLOUDY
BUDAPEST;3;2017-04-28 22:03:00;11;0.78;0.4;CLEAR
SZEGED;1;2017-04-28 22:05:00;11.1;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-28 22:07:00;14.9;27.13;6.4;HEAVY_CLOUDS
SOPRON;1;2017-04-28 22:09:00;15.8;0;0;FOG
SOPRON;2;2017-04-28 22:11:00;17.4;0.82;2.1;CLOUDY
DEBRECEN;1;2017-04-28 22:13:00;14.8;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-28 22:15:00;16;24.51;7.1;CLOUDY
DEBRECEN;3;2017-04-28 22:17:00;21.8;0.84;0.4;FOG
BUDAPEST;1;2017-04-28 22:19:00;19.1;0;0;CLEAR
BUDAPEST;2;2017-04-28 22:21:00;20.5;0;0;CLEAR
BUDAPEST;3;2017-04-28 22:23:00;23.5;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-28 22:25:00;22.6;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-28 22:27:00;20.4;0;0;CLEAR
SOPRON;1;2017-04-28 22:29:00;16.3;0;0;CLOUDY
SOPRON;2;2017-04-28 22:31:00;16.7;0;0;CLOUDY
DEBRECEN;1;2017-04-28 22:33:00;20.4;0;0;CLOUDY
DEBRECEN;2;2017-04-28 22:35:00;23.2;0;0;CLEAR
DEBRECEN;3;2017-04-28 22:37:00;22.3;0;0;CLEAR
BUDAPEST;1;2017-04-28 22:39:00;20.1;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 22:41:00;22.3;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-28 22:43:00;25.7;0;0;CLOUDY
SZEGED;1;2017-04-28 22:45:00;16.5;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-28 22:47:00;13.8;0;0;PARTLY_CLOUDY
SOPRON;1;2017-04-28 22:49:00;15.2;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-28 22:51:00;17.8;0;0;CLOUDY
DEBRECEN;1;2017-04-28 22:53:00;19.6;4.255;1;FOG
DEBRECEN;2;2017-04-28 22:55:00;20.3;0.035;23.5;CLEAR
DEBRECEN;3;2017-04-28 22:57:00;19.5;1.525;2.9;FOG
BUDAPEST;1;2017-04-28 22:59:00;20.6;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 23:01:00;20.1;0;0;CLEAR
BUDAPEST;3;2017-04-28 23:03:00;21.4;0;0;FOG
SZEGED;1;2017-04-28 23:05:00;23.9;0.845;0.3;CLEAR
SZEGED;2;2017-04-28 23:07:00;21.5;0;0;CLEAR
SOPRON;1;2017-04-28 23:09:00;23.1;0;0;CLEAR
SOPRON;2;2017-04-28 23:11:00;23.8;0.08;0.2;CLEAR
DEBRECEN;1;2017-04-28 23:13:00;19.2;0;0;CLOUDY
DEBRECEN;2;2017-04-28 23:15:00;18.8;0;0;CLEAR
DEBRECEN;3;2017-04-28 23:17:00;22.5;2.43;1.6;PARTLY_CLOUDY
BUDAPEST;1;2017-04-28 23:19:00;23.6;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 23:21:00;19.2;2.205;1.1;CLEAR
BUDAPEST;3;2017-04-28 23:23:00;16.2;0;0;FOG
SZEGED;1;2017-04-28 23:25:00;11.8;6.45;2.5;PARTLY_CLOUDY
SZEGED;2;2017-04-28 23:27:00;11;6.97;3.9;PARTLY_CLOUDY
SOPRON;1;2017-04-28 23:29:00;11.1;0.47;0.1;FOG
SOPRON;2;2017-04-28 23:31:00;14.9;0.475;0.1;HEAVY_CLOUDS
DEBRECEN;1;2017-04-28 23:33:00;15.8;0;0;CLEAR
DEBRECEN;2;2017-04-28 23:35:00;17.4;0;0;CLEAR
DEBRECEN;3;2017-04-28 23:37:00;14.8;0;0;CLEAR
BUDAPEST;1;2017-04-28 23:39:00;16;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-28 23:41:00;21.8;0.2;0.2;CLEAR
BUDAPEST;3;2017-04-28 23:43:00;19.1;3.015;0.9;CLEAR
SZEGED;1;2017-04-28 23:45:00;20.5;13.34;4;HEAVY_CLOUDS
SZEGED;2;2017-04-28 23:47:00;23.5;0;0;CLOUDY
SOPRON;1;2017-04-28 23:49:00;22.6;0;0;CLEAR
SOPRON;2;2017-04-28 23:51:00;20.4;0.32;0.2;CLEAR
DEBRECEN;1;2017-04-28 23:53:00;16.3;15.28;13.7;PARTLY_CLOUDY
DEBRECEN;2;2017-04-28 23:55:00;16.7;0.455;0.1;FOG
